alpha_regime,sweep,anchor_d,anchor_N,kbar_in,d,method,alpha_low,alpha_high,max_parents,avg_indegree,dag_generation_mode,mean_realized_avg_indegree,se_realized_avg_indegree,parallel_workers,completed_reps,mean_directed_f1,se_directed_f1,mean_skeleton_f1,se_skeleton_f1,mean_exact_dag,se_exact_dag,mean_family_accuracy,se_family_accuracy,mean_alpha_rmse_if_exact,se_alpha_rmse_if_exact,valid_alpha_rmse_reps,mean_alpha_rmse_on_correct_edges,se_alpha_rmse_on_correct_edges,valid_alpha_correct_edge_reps,mean_alpha_mape_on_correct_edges_pct,se_alpha_mape_on_correct_edges_pct,mean_alpha_rmse_on_true_edges,se_alpha_rmse_on_true_edges,mean_n_correct_directed_edges,mean_runtime_sec,se_runtime_sec,mean_local_score_runtime_sec,se_local_score_runtime_sec,mean_search_runtime_sec,se_search_runtime_sec,mean_n_local_scores_evaluated
common,d,4,3200,1.5,4.0,LibraryDP,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.9823333333333334,0.0050956758697172,0.985818181818182,0.0041955696762883,0.87,0.0337997668989631,0.905,0.0145557097686333,0.0325352795192553,0.0021333553700118,87,0.0399391896910053,0.0035239435964917,100,7.124205456044092,0.5829205465365658,0.0506570444583803,0.0058277601122414,5.83,0.6138378770009149,0.0333746532925374,0.6137777080007072,0.0333748089719819,6.016900020767935e-05,2.1526787103171247e-06,32.0
common,d,4,3200,1.5,4.0,LibraryGreedy,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.880060606060606,0.0187261236117275,0.9572727272727274,0.0065447147832141,0.63,0.0485236587093909,0.825,0.0239686242720551,0.0340896482581676,0.0027859623198534,63,0.0933051402475189,0.0128046736735911,100,14.183570160220128,1.679183376071176,0.1462734103515614,0.0176509163389187,5.13,0.3594455980006023,0.018498290105161,0.3588637080045009,0.0184955764902764,0.0005818899961013,1.2886340626671368e-05,25.04
common,d,4,3200,1.5,4.0,OracleDP,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.9861515151515152,0.0040574148336147,0.9878181818181818,0.0037543307769298,0.88,0.032659863237109,1.0,0.0,0.0323385629586555,0.0021250217632006,88,0.0370558867400115,0.0026603451789715,100,6.652853426324161,0.4574994261347581,0.0490667896745172,0.0056003210033654,5.86,0.1881027130001166,0.0221551748034349,0.1880492240004241,0.0221551154232693,5.348899969249032e-05,2.329539239353238e-06,32.0
common,d,4,3200,1.5,4.0,PBSCM,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.1378838383838384,0.0258905368036376,0.2986666666666667,0.0387626496232614,0.01,0.0099999999999999,,,,,0,,,0,,,,,0.68,0.5281996080001409,0.0679414890886107,,,,,
common,d,4,3200,1.5,4.0,PBSCM_PGF,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.0909603174603174,0.0174225030161145,0.3038528138528138,0.0253587499903851,0.0,0.0,,,,,0,,,0,,,,,0.38,0.0683773890002339,0.0006412858596186,,,,,
common,d,4,3200,1.5,4.0,PC-RCIT,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.0516666666666666,0.014251386168778,0.9456363636363636,0.0080243459027503,0.0,0.0,,,,,0,,,0,,,,,0.24,0.7536031490004098,0.0184350405982528,,,,,
common,d,4,3200,1.5,4.0,PoissonDAG-ODS,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.6490303030303031,0.0197600590716483,0.9271818181818182,0.008581207080077,0.09,0.0287623491264661,,,,,0,,,0,,,,,3.7,0.505718812999985,0.0454729348287875,,,,,
common,d,5,3200,1.5,5.0,LibraryDP,0.15,0.85,5,1.5,exact_edges,1.5999999999999996,4.463264492478967e-17,12,100,0.9760774617539324,0.0051315875825191,0.9797539323421676,0.0046926268107606,0.79,0.0409360180740332,0.932,0.0103357768371943,0.0340659702017987,0.0022169252682223,79,0.0443616175427217,0.0036612625259653,100,7.060689898084268,0.4485321559339911,0.0617334627577824,0.0064180163036614,7.7,1.5716289059986592,0.0750092584075754,1.5715374129997508,0.0750091656425501,9.14929989085067e-05,1.997208196356642e-06,80.0
common,d,5,3200,1.5,5.0,LibraryGreedy,0.15,0.85,5,1.5,exact_edges,1.5999999999999996,4.463264492478967e-17,12,100,0.8616530920060331,0.0194399729958673,0.9478134561516915,0.0071241616146999,0.52,0.0502116731568678,0.838,0.0202399744480215,0.0346135440221155,0.002655625175391,52,0.0876647599855471,0.0106142397008782,100,14.129798135621591,1.743640965627098,0.1537695222685927,0.01579962797582,6.69,0.5740856289998919,0.025323355679104,0.5728907019957842,0.0253162507053398,0.0011949270041077,2.2173705043493232e-05,44.59
common,d,5,3200,1.5,5.0,OracleDP,0.15,0.85,5,1.5,exact_edges,1.5999999999999996,4.463264492478967e-17,12,100,0.974822559793148,0.0051487144437682,0.9784990303813834,0.0047212307650576,0.77,0.042295258468165,1.0,0.0,0.0329650168780668,0.0021955463300832,77,0.0441276796405067,0.0037483106189156,100,6.947420109423914,0.4419574743348501,0.0612584014122338,0.0063985064719181,7.69,0.4280400909988384,0.0499428470725335,0.4279608149989508,0.0499428021111351,7.927599988761359e-05,1.309267784611495e-06,80.0
